absolute_path_for_preview,allowed_surfaces,blocked_surfaces,budget,bytes,conditional_surfaces,extension,family_id,family_label,filename,height,index,mapping_used,normalization_confidence,normalization_reason,normalized_family_id,normalized_family_label,notes,original_family_id,original_family_label,original_filename,preview_relative,recommended_surfaces_from_mapping,relative_path,role_from_mapping,sha256,width
,mobile|web_eit_public,pos_checkout_without_gate,"low-noise, battery-friendly, audit-safe",9513515,tablet_productive|control_center_audit,.jpg,mobile_thin_mist,Mobile Thin Mist,unsplash_ref_01_aivars-vilks-aN8IMFIpg1c-unsplash.jpg,7916,1,True,100,explicit_alias:audit_quiet_vault,mobile_thin_mist,Mobile Thin Mist,"Snow river aerial, quiet audit/evidence tone",audit_quiet_vault,External Review,aivars-vilks-aN8IMFIpg1c-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_01_aivars-vilks-aN8IMFIpg1c-unsplash.jpg,"Control Center, Mobile, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_01_aivars-vilks-aN8IMFIpg1c-unsplash.jpg,Atmosphere background,a6733bc83e6729da9ca6e5d16ac42ecfcbd8ef1f80904df653e785d6a6ddbbe4,5937
,,all_until_reviewed,requires human review,10192796,manual_review_only,.jpg,external_review,External Review,unsplash_ref_02_aivars-vilks-vX5FUGSV490-unsplash.jpg,7620,2,True,30,unmatched:decorative_winter_path,external_review,External Review,Vehicle/path detail can distract from UI,decorative_winter_path,External Review,aivars-vilks-vX5FUGSV490-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_02_aivars-vilks-vX5FUGSV490-unsplash.jpg,Reference/landing,tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_02_aivars-vilks-vX5FUGSV490-unsplash.jpg,Conditional decorative,9267b59c5c9caaa86afdf2e15f40eb35701b0e81501572ba75ac9428ee039db7,5715
,chart_lab|visual_os,tablet_productive|pos_checkout|dense_tables|web_eit_public,"high wow, studio/showcase only",3790889,control_center|pc_reference,.jpg,liquid_teal_vapor,Liquid Teal Vapor,unsplash_ref_03_alex-avila-a4G_5Z8L9gM-unsplash.jpg,6000,3,True,86,heuristic_liquid_teal,liquid_teal_vapor,Liquid Teal Vapor,"Warm ocean, not governance default",decorative_landing_warm,External Review,alex-avila-a4G_5Z8L9gM-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_03_alex-avila-a4G_5Z8L9gM-unsplash.jpg,Marketing/Web only,tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_03_alex-avila-a4G_5Z8L9gM-unsplash.jpg,Decorative/landing,e4d87da4f91c63bb515f2888a43aa03e88c74c5580ff4a00bc126f3aa1e81307,4000
,mobile|web_eit_public,pos_checkout_without_gate,"low-noise, battery-friendly, audit-safe",4626793,tablet_productive|control_center_audit,.jpg,mobile_thin_mist,Mobile Thin Mist,unsplash_ref_04_andreas-slotosch-ePfp8UWywp0-unsplash.jpg,5169,4,True,100,explicit_alias:thin_mist_blue,mobile_thin_mist,Mobile Thin Mist,"Blue mist hills, excellent low-noise",thin_mist_blue,External Review,andreas-slotosch-ePfp8UWywp0-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_04_andreas-slotosch-ePfp8UWywp0-unsplash.jpg,"Mobile, Web/EIT, Tablet",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_04_andreas-slotosch-ePfp8UWywp0-unsplash.jpg,Atmosphere background,8c1953b1267185f3af4d37a689b5df56c7f626f7ffa1950c158e4441d007f403,7750
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,1103526,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_05_benjamin-voros-eGfvccM-Mzo-unsplash.jpg,3460,5,True,100,explicit_alias:tablet_light_snow,tablet_light_soft,Tablet Light Soft,"High-key snow mountains, good light-first background",tablet_light_snow,Tablet Light Snow,benjamin-voros-eGfvccM-Mzo-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_05_benjamin-voros-eGfvccM-Mzo-unsplash.jpg,"Tablet, Mobile, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_05_benjamin-voros-eGfvccM-Mzo-unsplash.jpg,Atmosphere background,133fe212c78073e3a4f7c5aecc29ca1c740672e56bd480723f39ddfa1d186cb1,2773
,mobile|web_eit_public,pos_checkout_without_gate,"low-noise, battery-friendly, audit-safe",4255140,tablet_productive|control_center_audit,.jpg,mobile_thin_mist,Mobile Thin Mist,unsplash_ref_06_daniil-silantev-irbKrFMeELg-unsplash.jpg,4471,6,True,90,heuristic_thin_mist,mobile_thin_mist,Mobile Thin Mist,"Winter steam/river, premium calm",audit_winter_steam,External Review,daniil-silantev-irbKrFMeELg-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_06_daniil-silantev-irbKrFMeELg-unsplash.jpg,"Control Center, PC, Mobile",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_06_daniil-silantev-irbKrFMeELg-unsplash.jpg,Atmosphere background,3c252b74ffed9c4fc641ae12cba0b391eb6ce5e91d532a977c2448e31166e7eb,3577
,,all_background_use,not direct UI atmosphere,3336730,manual_review_only,.jpg,subject_photo_blocked,Subject Photo Blocked,unsplash_ref_07_daniil-silantev-Rl7SZ19fgRQ-unsplash.jpg,4002,7,True,100,explicit_alias:subject_photo_blocked,subject_photo_blocked,Subject Photo Blocked,"Fox subject, not UI atmosphere",subject_photo_blocked,Subject Photo Blocked,daniil-silantev-Rl7SZ19fgRQ-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_07_daniil-silantev-Rl7SZ19fgRQ-unsplash.jpg,None as background,tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_07_daniil-silantev-Rl7SZ19fgRQ-unsplash.jpg,Blocked/decorative subject,83cbe1f36b97364c3ee601931e83ab9997a14bab1f2de22311d33257baf75f46,5995
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,2012612,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_08_dave-hoefler-AYx3Tkuw-Mw-unsplash.jpg,6105,8,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Minimal pale water/rocks, light-safe candidate",tablet_light_minimal_water,External Review,dave-hoefler-AYx3Tkuw-Mw-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_08_dave-hoefler-AYx3Tkuw-Mw-unsplash.jpg,"Tablet, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_08_dave-hoefler-AYx3Tkuw-Mw-unsplash.jpg,Atmosphere background,5308ca9368547194aee2f347b05cb32206faf6483088ffde563fb350f9ece5f8,4361
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,591234,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_09_dawid-zawila-prjYWL-sAww-unsplash.jpg,2000,9,True,100,explicit_alias:tablet_light_minimal_fog,tablet_light_soft,Tablet Light Soft,"Lone tree fog, clean light-first",tablet_light_minimal_fog,External Review,dawid-zawila-prjYWL-sAww-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_09_dawid-zawila-prjYWL-sAww-unsplash.jpg,"Tablet, Mobile, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_09_dawid-zawila-prjYWL-sAww-unsplash.jpg,Atmosphere background,1228e72f072158f54c7a0c805acbdec6728e7c99a13a762a756387b48042dbaa,3000
,control_center|chart_lab|pc_reference,tablet_productive|pos_checkout|web_eit_public,premium dark governance/storm mood; strong scrim required,5275611,visual_os,.jpg,storm_graphite_vault,Storm Graphite Vault,unsplash_ref_10_dmitry-spravko-YOE8v9KdsB0-unsplash.jpg,7728,10,True,100,explicit_alias:storm_vapor_dusk,storm_graphite_vault,Storm Graphite Vault,"Dramatic cloud/mist, needs strong scrim",storm_vapor_dusk,Storm Vapor Dusk,dmitry-spravko-YOE8v9KdsB0-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_10_dmitry-spravko-YOE8v9KdsB0-unsplash.jpg,"Control Center, Chart Lab",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_10_dmitry-spravko-YOE8v9KdsB0-unsplash.jpg,Conditional atmosphere,9490907c8d89f882ab66e3cf2cd564a8ba705b80815eae095f79c1d90ff8b65c,5152
