allowed_surfaces,blocked_surfaces,bytes,extension,family_id,family_label,filename,notes,relative_path,sha256
control_center_separate|control_center_embedded|visual_os,pos_checkout,1578386,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo-dark.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",Prisma Cloud Ctr/internal/assets/prisma-logo-dark.png,2fdc813316cbaa30a65b3d49439e59148e5417adefc058174bcfda3b53f235f7
control_center_separate|control_center_embedded|visual_os,pos_checkout,1578065,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",Prisma Cloud Ctr/internal/assets/prisma-logo.png,df70ef209ccdaf3730983f167321eacdf7fd66b89e78bb30daddf202db0a26ed
control_center_separate|control_center_embedded|visual_os,pos_checkout,537981,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo-crystal-mark.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma-logo-crystal-mark.png,5fefed96a08112408672345cdad348141349e611f6c06630cc87dabeb99f49ba
control_center_separate|control_center_embedded|visual_os,pos_checkout,1578065,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo-full.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma-logo-full.png,df70ef209ccdaf3730983f167321eacdf7fd66b89e78bb30daddf202db0a26ed
control_center_separate|control_center_embedded|visual_os,pos_checkout,1578065,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo-mark.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma-logo-mark.png,df70ef209ccdaf3730983f167321eacdf7fd66b89e78bb30daddf202db0a26ed
control_center_separate|control_center_embedded|visual_os,pos_checkout,1578065,.png,control_center_visual_governance,Control Center / Visual Governance,prisma-logo.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma-logo.png,df70ef209ccdaf3730983f167321eacdf7fd66b89e78bb30daddf202db0a26ed
control_center_separate|control_center_embedded|visual_os,pos_checkout,1482598,.png,control_center_visual_governance,Control Center / Visual Governance,prisma_logo_full.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma_logo_full.png,77667a6549d774573695cf34f60052775f9706c84d4cbf7480fda9cd8e0c5151
control_center_separate|control_center_embedded|visual_os,pos_checkout,734628,.png,control_center_visual_governance,Control Center / Visual Governance,prisma_logo_mark.png,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/prisma_logo_mark.png,1401c95fe0ff0f8e4c3e4b6ab6d6711b37a59af5e1b4e511ac23a8c03f80a723
control_center_separate|control_center_embedded|visual_os,pos_checkout,701836,.jpg,control_center_visual_governance,Control Center / Visual Governance,simon-spring-zmMrlEHsFQY-unsplash.jpg,"Gobierno, salud, evidencia y command surfaces. Hits: control-center",prisma-control-center/internal/web/assets/simon-spring-zmMrlEHsFQY-unsplash.jpg,33b0d8f5b2a054e2d473454a4ffec7be6f6ed85b878f6f3fe8d8d95004c1feb8
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/chart-lab/app/public/surface-visual-governor/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/chart-lab/app/public/surface-visual-governor/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/mobile/app/public/surface-visual-governor/mobile-thin-mist-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
