source,target,bytes,sha256
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\engines\python\README.md,475,f140f5feb547a4aadaa54d5a9777a910c690dddf2b340170a2e0b91728ee60c4
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\engines\python\__init__.py,61,acc9029fa3b4f7d8325d03480de0301cbe36385800e9d8b8e019b98c65dbe0f1
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\engines\python\engine_contract.md,353,4c5f910c342624420e39052ed465bad1dff2a7583b60f1383b95b40b929ad47e
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\engines\node\README.md,83,0e8896a3d06c86148b7aee895e18e78efc56138ad7ff5102bf80c79d80230ec6
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\engines\powershell\README.md,85,26a39d488b7eeaa16cf84539bb75df5b05cf82fb867aaf21fa1edb10b07aaec5
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\contracts\README.md,89,ad95f1a0d1033b81525935c8653066d85f56f5537bd9ccbfa265d8eec699dd33
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\inventory\README.md,98,42fd05e4bd3e2bd06b8172156ae5acc4e539c4fa0b45a840ec0e0649f2b77b18
__generated__,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\evidence\README.md,134,408f9f793efd55ead53e9c81d0cf2bdf60fc713294791eb4a45b6e1810a387bf
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\00_PRISMA_SURFACE_VISUAL_GOVERNOR_MASTER_INDEX.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\00_PRISMA_SURFACE_VISUAL_GOVERNOR_MASTER_INDEX.md,20166,29f16eccc28abe7f5f3f1fed490cbfb7933bc17433749c284aec9ceaa275f3a6
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\01_WHERE_EVERYTHING_LIVES.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\01_WHERE_EVERYTHING_LIVES.md,17274,f2554b14d8f53452f653b4616a66af9c2aee78c2822e5ecdec25c77470c4cea6
